Element,Concentration,New_Region
Oxygen,0.58512,"0,0.0"
Sodium,0.0369197,"0,0.25"
Magnesium,0.0192037,"0,0.25"
Aluminum,0.112559,"0,0.25"
Silicon,0.211608,"0,0.25"
Phosphorus,0,"0,0.25"
Sulfur,0,"0,0.25"
Potassium,0.000542937,"0,0.25"
Calcium,0.0233051,"2,0.0"
Titanium,0.000443191,"2,0.25"
Chromium,0.000408247,"2,0.5"
Manganese,0.000386401,"2,0.75"
Iron,0.00950262,"2,0.75"
Nickel,0,"2,0.75"
Oxygen,0.598723,"2,0.75"
Sodium,0.000975417,"2,0.75"
Magnesium,0.0987049,"2,0.75"
Aluminum,0.014973,"2,0.75"
Silicon,0.172512,"2,0.75"
Phosphorus,0,"2,0.75"
Sulfur,0.0160897,"5,0.0"
Potassium,0,"5,0.25"
Calcium,0.0531758,"5,0.5"
Titanium,0.000468363,"5,0.75"
Chromium,0.00388291,"5,0.75"
Manganese,0.00204174,"5,0.75"
Iron,0.0204864,"5,0.75"
Nickel,0.017966,"5,0.75"
Oxygen,0.584515,"5,0.75"
Sodium,0.000922038,"5,0.75"
Magnesium,0.172655,"5,0.75"
Aluminum,0.00393157,"5,0.75"
Silicon,0.204595,"5,0.75"
Phosphorus,0,"8,0.25"
Sulfur,0.000661268,"8,0.5"
Potassium,0,"8,0.75"
Calcium,0.00264557,"9,0.0"
Titanium,0,"9,0.25"
Chromium,0.00122347,"9,0.5"
Manganese,0.000772001,"9,0.75"
Iron,0.0277189,"10,0.0"
Nickel,0.000361337,"10,0.25"
Oxygen,0.585573,"10,0.5"
Sodium,0.0379581,"10,0.5"
Magnesium,0.0271423,"10,0.5"
Aluminum,0.102639,"10,0.5"
Silicon,0.206947,"10,0.5"
Phosphorus,0,"10,0.5"
Sulfur,0.000663972,"10,0.5"
Potassium,0.000544593,"10,0.5"
Calcium,0.0239075,"10,0.5"
Titanium,0.000889085,"10,0.5"
Chromium,0.000409492,"10,0.5"
Manganese,0,"10,0.5"
Iron,0.012963,"10,0.5"
Nickel,0.000362814,"13,0.75"
Oxygen,0.593857,"14,0.0"
Sodium,0.000928355,"14,0.25"
Magnesium,0.161546,"14,0.5"
Aluminum,0.0039585,"14,0.75"
Silicon,0.200675,"15,0.0"
Phosphorus,0,"15,0.25"
Sulfur,0,"15,0.5"
Potassium,0,"15,0.75"
Calcium,0.00266369,"16,0.0"
Titanium,0,"16,0.25"
Chromium,0.000821238,"16,0.25"
Manganese,0.000777291,"16,0.25"
Iron,0.0344082,"16,0.25"
Nickel,0.000363813,"16,0.25"
Oxygen,0.576049,"16,0.25"
Sodium,0.00685846,"16,0.25"
Magnesium,0.13621,"16,0.25"
Aluminum,0.0200533,"16,0.25"
Silicon,0.1789,"16,0.25"
Phosphorus,0,"16,0.25"
Sulfur,0.00210804,"16,0.25"
Potassium,0.000576341,"16,0.25"
Calcium,0.0118072,"16,0.25"
Titanium,0,"16,0.25"
Chromium,0.00173346,"16,0.25"
Manganese,0.000820347,"16,0.25"
Iron,0.063348,"16,0.25"
Nickel,0.00153586,"16,0.25"
Oxygen,0.565011,"21,0.0"
Sodium,0,"21,0.25"
Magnesium,0.179583,"21,0.5"
Aluminum,0.00348253,"21,0.75"
Silicon,0.14545,"22,0.0"
Phosphorus,0.00075794,"22,0.25"
Sulfur,0,"22,0.5"
Potassium,0,"22,0.75"
Calcium,0.00234341,"23,0.0"
Titanium,0,"23,0.25"
Chromium,0,"23,0.5"
Manganese,0.000427393,"23,0.75"
Iron,0.101744,"24,0.0"
Nickel,0.00120025,"24,0.25"
Oxygen,0.591284,"24,0.25"
Sodium,0.000947761,"24,0.25"
Magnesium,0.150582,"24,0.25"
Aluminum,0.0048495,"24,0.25"
Silicon,0.198662,"24,0.25"
Phosphorus,0,"24,0.25"
Sulfur,0,"24,0.25"
Potassium,0,"24,0.25"
Calcium,0.00326325,"24,0.25"
Titanium,0,"24,0.25"
Chromium,0.00125761,"24,0.25"
Manganese,0.000793539,"24,0.25"
Iron,0.0476171,"24,0.25"
Nickel,0.000742835,"24,0.25"
Oxygen,0.567739,"24,0.25"
Sodium,0,"24,0.25"
Magnesium,0.186756,"24,0.25"
Aluminum,0.00171843,"24,0.25"
Silicon,0.147667,"24,0.25"
Phosphorus,0,"24,0.25"
Sulfur,0,"24,0.25"
Potassium,0,"24,0.25"
Calcium,0.00115634,"24,0.25"
Titanium,0,"24,0.25"
Chromium,0,"24,0.25"
Manganese,0.000421788,"24,0.25"
Iron,0.093356,"24,0.25"
Nickel,0.00118451,"24,0.25"
Oxygen,0.582671,"24,0.25"
Sodium,0.000923318,"24,0.25"
Magnesium,0.172894,"24,0.25"
Aluminum,0.00393702,"24,0.25"
Silicon,0.206391,"24,0.25"
Phosphorus,0,"24,0.25"
Sulfur,0.000662186,"24,0.25"
